,num_mc_samples,model_train_size,image_id,agg_uncertainty
235,20,270,acdc_data3_20210722_pos_18_42,0.07262143
236,20,270,acdc_data3_20210722_pos_18_45,0.20385928
237,20,270,acdc_data3_20210722_pos_18_48,0.14486352
238,20,270,acdc_data3_20210722_pos_18_51,0.081172794
239,20,270,acdc_data3_20210722_pos_18_54,0.15133238
240,20,270,acdc_data3_20210722_pos_18_57,0.13242528
241,20,270,acdc_data3_20210722_pos_18_6,0.0
242,20,270,acdc_data3_20210722_pos_18_60,0.18177511
243,20,270,acdc_data3_20210722_pos_18_63,0.27808857
244,20,270,acdc_data3_20210722_pos_18_66,0.07770088
245,20,270,acdc_data3_20210722_pos_18_69,0.14153957
246,20,270,acdc_data3_20210722_pos_18_72,0.20022762
247,20,270,acdc_data3_20210722_pos_18_75,0.1717439
248,20,270,acdc_data3_20210722_pos_18_78,0.18799423
249,20,270,acdc_data3_20210722_pos_18_81,0.05471128
250,20,270,acdc_data3_20210722_pos_18_84,0.13671646
251,20,270,acdc_data3_20210722_pos_18_87,0.0956634
252,20,270,acdc_data3_20210722_pos_18_9,0.0
253,20,270,acdc_data3_20210722_pos_18_90,0.052299596
254,20,270,acdc_data3_20210722_pos_18_93,0.16204886
255,20,270,acdc_data3_20210722_pos_18_96,0.015861725
256,20,270,acdc_data3_20210722_pos_18_99,0.0
257,20,270,acdc_data3_20210722_pos_2_0,0.02111111
258,20,270,acdc_data3_20210722_pos_2_102,0.22241485
259,20,270,acdc_data3_20210722_pos_2_105,0.2780251
260,20,270,acdc_data3_20210722_pos_2_108,0.2124567
261,20,270,acdc_data3_20210722_pos_2_111,0.22272451
262,20,270,acdc_data3_20210722_pos_2_114,0.19216959
263,20,270,acdc_data3_20210722_pos_2_117,0.18898313
264,20,270,acdc_data3_20210722_pos_2_12,0.15298396
265,20,270,acdc_data3_20210722_pos_2_120,0.20984857
266,20,270,acdc_data3_20210722_pos_2_123,0.20272475
267,20,270,acdc_data3_20210722_pos_2_126,0.1624274
268,20,270,acdc_data3_20210722_pos_2_129,0.20569645
269,20,270,acdc_data3_20210722_pos_2_132,0.16990918
270,20,270,acdc_data3_20210722_pos_2_135,0.08671589
271,20,270,acdc_data3_20210722_pos_2_138,0.11045589
272,20,270,acdc_data3_20210722_pos_2_141,0.10662683
273,20,270,acdc_data3_20210722_pos_2_144,0.1728112
274,20,270,acdc_data3_20210722_pos_2_15,0.066398285
275,20,270,acdc_data3_20210722_pos_2_18,0.19229952
276,20,270,acdc_data3_20210722_pos_2_21,0.14682963
277,20,270,acdc_data3_20210722_pos_2_24,0.24742384
278,20,270,acdc_data3_20210722_pos_2_27,0.27837425
279,20,270,acdc_data3_20210722_pos_2_3,0.10836136
280,20,270,acdc_data3_20210722_pos_2_30,0.2687389
281,20,270,acdc_data3_20210722_pos_2_33,0.31669223
282,20,270,acdc_data3_20210722_pos_2_36,0.1311531
283,20,270,acdc_data3_20210722_pos_2_39,0.22505152
284,20,270,acdc_data3_20210722_pos_2_42,0.24489328
285,20,270,acdc_data3_20210722_pos_2_45,0.14729518
286,20,270,acdc_data3_20210722_pos_2_48,0.19983612
287,20,270,acdc_data3_20210722_pos_2_51,0.21085541
288,20,270,acdc_data3_20210722_pos_2_54,0.17828502
289,20,270,acdc_data3_20210722_pos_2_57,0.16881782
290,20,270,acdc_data3_20210722_pos_2_6,0.08594828
291,20,270,acdc_data3_20210722_pos_2_60,0.14374831
292,20,270,acdc_data3_20210722_pos_2_63,0.1566554
293,20,270,acdc_data3_20210722_pos_2_66,0.18800926
294,20,270,acdc_data3_20210722_pos_2_69,0.19176432
295,20,270,acdc_data3_20210722_pos_2_72,0.20882031
296,20,270,acdc_data3_20210722_pos_2_75,0.22801633
297,20,270,acdc_data3_20210722_pos_2_78,0.14778928
298,20,270,acdc_data3_20210722_pos_2_81,0.21788053
299,20,270,acdc_data3_20210722_pos_2_84,0.14941551
300,20,270,acdc_data3_20210722_pos_2_87,0.1297595
301,20,270,acdc_data3_20210722_pos_2_9,0.04924088
302,20,270,acdc_data3_20210722_pos_2_90,0.15612856
303,20,270,acdc_data3_20210722_pos_2_93,0.20393813
304,20,270,acdc_data3_20210722_pos_2_96,0.20654894
305,20,270,acdc_data3_20210722_pos_2_99,0.17103222
306,20,270,acdc_data3_20210722_pos_5_0,0.1172552
307,20,270,acdc_data3_20210722_pos_5_12,0.26003355
308,20,270,acdc_data3_20210722_pos_5_15,0.18027201
309,20,270,acdc_data3_20210722_pos_5_18,0.13790935
310,20,270,acdc_data3_20210722_pos_5_21,0.17240903
311,20,270,acdc_data3_20210722_pos_5_24,0.22067346
312,20,270,acdc_data3_20210722_pos_5_27,0.20412016
313,20,270,acdc_data3_20210722_pos_5_3,0.28832874
314,20,270,acdc_data3_20210722_pos_5_30,0.21872833
315,20,270,acdc_data3_20210722_pos_5_33,0.2504631
316,20,270,acdc_data3_20210722_pos_5_36,0.10761767
317,20,270,acdc_data3_20210722_pos_5_39,0.19332159
318,20,270,acdc_data3_20210722_pos_5_42,0.1410087
319,20,270,acdc_data3_20210722_pos_5_45,0.13991338
320,20,270,acdc_data3_20210722_pos_5_48,0.10889532
321,20,270,acdc_data3_20210722_pos_5_51,0.16926804
322,20,270,acdc_data3_20210722_pos_5_54,0.109566204
323,20,270,acdc_data3_20210722_pos_5_57,0.20935974
324,20,270,acdc_data3_20210722_pos_5_6,0.2568564
325,20,270,acdc_data3_20210722_pos_5_60,0.2091421
326,20,270,acdc_data3_20210722_pos_5_63,0.17354587
327,20,270,acdc_data3_20210722_pos_5_66,0.19775997
328,20,270,acdc_data3_20210722_pos_5_69,0.22477914
329,20,270,acdc_data3_20210722_pos_5_72,0.28763548
330,20,270,acdc_data3_20210722_pos_5_75,0.1725973
331,20,270,acdc_data3_20210722_pos_5_78,0.18600701
332,20,270,acdc_data3_20210722_pos_5_81,0.10496698
333,20,270,acdc_data3_20210722_pos_5_84,0.14833747
334,20,270,acdc_data3_20210722_pos_5_87,0.15128845
335,20,270,acdc_data3_20210722_pos_5_9,0.14706364
336,20,270,acdc_data3_20210722_pos_5_90,0.20730342
337,20,270,acdc_data3_20210722_pos_5_93,0.21725732
338,20,270,acdc_data3_20210722_pos_5_96,0.15231533
339,20,270,acdc_data3_20211029_pos_1_0,0.1973046
340,20,270,acdc_data3_20211029_pos_1_102,0.16708075
341,20,270,acdc_data3_20211029_pos_1_105,0.0866556
342,20,270,acdc_data3_20211029_pos_1_108,0.16602561
343,20,270,acdc_data3_20211029_pos_1_111,0.13291286
344,20,270,acdc_data3_20211029_pos_1_114,0.16406733
345,20,270,acdc_data3_20211029_pos_1_117,0.08600659
346,20,270,acdc_data3_20211029_pos_1_12,0.25720423
347,20,270,acdc_data3_20211029_pos_1_120,0.10434001
348,20,270,acdc_data3_20211029_pos_1_123,0.13202953
349,20,270,acdc_data3_20211029_pos_1_126,0.12734686
350,20,270,acdc_data3_20211029_pos_1_129,0.0931796
351,20,270,acdc_data3_20211029_pos_1_132,0.087689996
352,20,270,acdc_data3_20211029_pos_1_135,0.07587282
