,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
216,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,6,0.3403355
217,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,7,0.30912447
218,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,8,0.32822615
219,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,9,0.29529676
220,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,0,0.28716478
221,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,1,0.26752973
222,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,2,0.26721323
223,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,3,0.2529839
224,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,4,0.2506303
225,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,5,0.25372842
226,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,6,0.2691217
227,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,7,0.24415193
228,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,8,0.2395089
229,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,9,0.27326053
230,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,0,0.28580287
231,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,1,0.28451583
232,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,2,0.2877357
233,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,3,0.28473878
234,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,4,0.26598454
235,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,5,0.29767886
236,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,6,0.27803773
237,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,7,0.31226364
238,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,8,0.29136363
239,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,9,0.29880702
240,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,0,0.3610423
241,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,1,0.3439998
242,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,2,0.33715877
243,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,3,0.37031427
244,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,4,0.33542818
245,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,5,0.36725366
246,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,6,0.36709204
